Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
HICHAM,www,playback,/browse,/watch/80236318?trackId=14186196&tctx=1%2C0%2C35722aa4-1b10-4773-9a59-1661b1e43dbe-104550853%2CNES_DC4E0FB57071175540631B492DD90F-7B6D3370C92CCE-D68BBD0D4D_p_1729374202291%2CNES_DC4E0FB57071175540631B492DD90F_p_1729374202291%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,2024-10-19 21:43:40
HICHAM,www,playback,/watch/80236318?trackId=14186196&tctx=1%2C0%2C35722aa4-1b10-4773-9a59-1661b1e43dbe-104550853%2CNES_DC4E0FB57071175540631B492DD90F-7B6D3370C92CCE-D68BBD0D4D_p_1729374202291%2CNES_DC4E0FB57071175540631B492DD90F_p_1729374202291%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,/watch/81647016?trackId=14186196,2024-10-19 21:43:40
HICHAM,tvui,profilesGate,,,2024-09-17 11:15:12
HICHAM,tvui,profilesGate,,,2024-09-17 11:15:12
HICHAM,tvui,profilesGate,,,2024-09-17 11:15:12
HICHAM,tvui,profilesGate,,,2024-09-17 11:15:12
HICHAM,tvui,profilesGate,,,2024-09-17 11:15:12
HICHAM,tvui,profilesGate,,,2024-09-17 11:15:12
HICHAM,tvui,progressSpinner,,,2024-09-17 11:15:11
HICHAM,tvui,profilesGate,,,2024-09-17 11:15:11
HICHAM,tvui,clcsInitialInterstitialView,,,2024-09-17 10:45:09
HICHAM,tvui,progressSpinner,,,2024-09-17 10:45:09
HICHAM,tvui,mhuManageHousehold,,,2024-09-17 10:45:08
HICHAM,tvui,progressSpinner,,,2024-09-17 10:45:08
HICHAM,tvui,mhuManageHousehold,,,2024-09-17 10:45:05
HICHAM,tvui,mhuManageHousehold,,,2024-09-17 10:45:05
HICHAM,tvui,mhuManageHousehold,,,2024-09-17 10:45:05
HICHAM,tvui,mhuManageHousehold,,,2024-09-17 10:45:05
HICHAM,tvui,profilesGate,,,2024-09-17 10:45:04
HICHAM,tvui,progressSpinner,,,2024-09-17 10:45:04
HICHAM,tvui,progressSpinner,,,2024-09-17 10:45:04
HICHAM,tvui,progressSpinner,,,2024-09-17 10:45:04
HICHAM,tvui,progressSpinner,,,2024-09-17 10:45:04
HICHAM,tvui,mhuManageHousehold,,,2024-09-17 10:45:04
HICHAM,tvui,mhuManageHousehold,,,2024-09-17 10:45:04
HICHAM,tvui,mhuManageHousehold,,,2024-09-17 10:45:04
HICHAM,tvui,clcsInitialInterstitialView,,,2024-09-17 10:44:53
HICHAM,tvui,profilesGate,,,2024-09-17 10:44:53
HICHAM,tvui,profilesGate,,,2024-09-17 10:44:49
HICHAM,tvui,clcsInitialInterstitialView,,,2024-09-11 10:31:57
HICHAM,tvui,profilesGate,,,2024-09-11 10:31:57
HICHAM,tvui,profilesGate,,,2024-09-11 10:31:57
HICHAM,tvui,profilesGate,,,2024-09-11 10:31:57
HICHAM,tvui,profilesGate,,,2024-09-11 10:01:09
HICHAM,tvui,profilesGate,,,2024-08-09 09:02:04
HICHAM,www,movieDetails,/browse,/browse?jbv=80067930,2024-11-29 19:22:52
HICHAM,www,browseTitles,/browse?jbv=80067930,/browse,2024-11-29 19:22:52
HICHAM,www,browseTitles,/play-game/81708316?trackId=259010267&tctx=2%2C0%2Cfe9b4ef9-73ae-4cac-9945-ef8fb986091e-150613029%2CNES_0B83F23D8AA866228637DA770E6755-B7710A7EE9DAD8-C61935DFBF_p_1732907447150%2CNES_0B83F23D8AA866228637DA770E6755_p_1732907447150%2C%2C%2C%2C81708316%2CGame%3A81708316%2CminiDpPlayButton,/browse,2024-11-29 19:22:46
HICHAM,www,browseTitles,/browse,/browse?jbv=80067930,2024-11-29 19:22:46
HICHAM,www,playGame,/browse,/play-game/81708316?trackId=259010267&tctx=2%2C0%2Cfe9b4ef9-73ae-4cac-9945-ef8fb986091e-150613029%2CNES_0B83F23D8AA866228637DA770E6755-B7710A7EE9DAD8-C61935DFBF_p_1732907447150%2CNES_0B83F23D8AA866228637DA770E6755_p_1732907447150%2C%2C%2C%2C81708316%2CGame%3A81708316%2CminiDpPlayButton,2024-11-29 19:22:22
HICHAM,www,browseTitles,/play-game/81708316?trackId=259010267&tctx=2%2C0%2Cfe9b4ef9-73ae-4cac-9945-ef8fb986091e-150613029%2CNES_0B83F23D8AA866228637DA770E6755-B7710A7EE9DAD8-C61935DFBF_p_1732907447150%2CNES_0B83F23D8AA866228637DA770E6755_p_1732907447150%2C%2C%2C%2C81708316%2CGame%3A81708316%2CminiDpPlayButton,/browse,2024-11-29 19:22:22
HICHAM,www,browseTitles,https://www.netflix.com/pwa,/browse,2024-11-29 19:21:09
